Excel词语拼音分析结果
==================================================

基本统计:
总词数: 520
唯一拼音数: 307
有重复的拼音种类数: 117
有重复拼音的词数: 330

详细数据:
序号	词语	拼音	是否重复
1	安保	a1n	是
2	主板	zhu3	否
3	阿福	a1	是
4	阿黄	a1	是
5	按键	a4n	是
6	阿狸	a1	是
7	阿妹	a1	是
8	安	a1n	是
9	奥	a4o	是
10	苹果	pi2ng	是
11	安琪	a1n	是
12	眼镜	ya3n	否
13	阿腾	a1	是
14	暗巫	a4n	是
15	暗信	a4n	是
16	奥运	a4o	是
17	阿泽	a1	是
18	靶	ba3	否
19	白菜	ba2i	否
20	板凳	ba3n	否
21	拜厄	ba4i	否
22	包峰	ba1o	否
23	冰棍	bi1ng	是
24	薄荷	ba2o	否
25	笔	bi3	否
26	北京	be3i	否
27	贝壳	be4i	否
28	玻璃	bo1	否
29	宝马	ba3o	是
30	冰女	bi1ng	是
31	博士	bo2	否
32	鞭炮	bia1n	否
33	兵器	bi1ng	是
34	冰人	bi1ng	是
35	宝石	ba3o	是
36	冰糖	bi1ng	是
37	保温	ba3o	是
38	冰箱	bi1ng	是
39	鲍鱼	ba4o	是
40	暴走	ba4o	是
41	擦	ca1	否
42	茶杯	cha2	否
43	嫦娥	cha2ng	否
44	唇膏	chu2n	否
45	彩虹	ca3i	否
46	磁	ci2	是
47	程洁	che2ng	是
48	刺客	ci4	是
49	窗帘	chua1ng	否
50	草莓	ca3o	否
51	磁能	ci2	是
52	手铐	sho3u	是
53	车票	che1	否
54	城墙	che2ng	是
55	皇室	hua2ng	是
56	慈善	ci2	是
57	抽屉	cho1u	否
58	刺猬	ci4	是
59	程序	che2ng	是
60	插眼	cha1	否
61	橙汁	che2ng	是
62	豆瓣	do4u	是
63	大葱	da4	是
64	戴尔	da4i	是
65	豆腐	do4u	是
66	蛋糕	da4n	是
67	德航	de2	否
68	笛	di2	否
69	豆浆	do4u	是
70	蛋壳	da4n	是
71	地雷	di4	是
72	达摩	da2	否
73	大鸟	da4	是
74	灯泡	de1ng	否
75	地球	di4	是
76	钻戒	zua1n	是
77	动森	do4ng	否
78	蛋挞	da4n	是
79	戴炜	da4i	是
80	大象	da4	是
81	豆油	do4u	是
82	袋子	da4i	是
83	铅笔	qia1n	否
84	内存	ne4i	是
85	英孚	yi1ng	是
86	二锅	e4r	是
87	二胡	e4r	是
88	期刊	qi1	否
89	耳机	e3r	是
90	水冷	shui3	是
91	饿狼	e4	是
92	噩梦	e4	是
93	英文	yi1ng	是
94	鹅蛋	e2	否
95	耳片	e3r	是
96	恶犬	e4	是
97	外星	wa4i	是
98	耳蜗	e3r	是
99	出口	chu1	否
100	鳄鱼	e4	是
101	儿子	e2r	否
102	发	fa1	是
103	飞镖	fe1i	是
104	飞碟	fe1i	是
