原始词,读音（汉字）,读音（拼音）,首字音重复数量,首字音重复词汇列表
安保,安保,an1bao3,2,"安保, 安琪"
主板,主,zhu3,1,
特效,特,te4,1,
阿福,阿福,a1fu2,6,"阿福, 阿黄, 阿狸, 阿妹, 阿腾, 阿泽"
阿黄,阿黄,a1huang2,6,"阿福, 阿黄, 阿狸, 阿妹, 阿腾, 阿泽"
智能,智,zhi4,1,
按键,按键,an4jian4,3,"按键, 暗巫, 暗信"
步枪,步,bu4,1,
阿狸,阿狸,a1li2,6,"阿福, 阿黄, 阿狸, 阿妹, 阿腾, 阿泽"
阿妹,阿妹,a1mei4,6,"阿福, 阿黄, 阿狸, 阿妹, 阿腾, 阿泽"
使徒,使,shi3,1,
奥利,奥利,ao4li4,3,"奥利, 奥运, 奥特"
安琪,安琪,an1qi2,2,"安保, 安琪"
眼镜,眼,yan3,1,
阿腾,阿腾,a1teng2,6,"阿福, 阿黄, 阿狸, 阿妹, 阿腾, 阿泽"
暗巫,暗巫,an4wu1,3,"按键, 暗巫, 暗信"
暗信,暗信,an4xin4,3,"按键, 暗巫, 暗信"
奥运,奥运,ao4yun4,3,"奥利, 奥运, 奥特"
阿泽,阿泽,a1ze2,6,"阿福, 阿黄, 阿狸, 阿妹, 阿腾, 阿泽"
靶,靶,ba3,1,
白菜,白,bai2,1,
板凳,板,ban3,1,
拜厄,拜厄,bai4e4,2,"拜厄, 拜得"
包峰,包,bao1,1,
冰棍,冰棍,bing1gun4,6,"冰棍, 冰女, 兵器, 冰人, 冰糖, 冰箱"
薄荷,薄,bo4,1,
笔,笔,bi3,1,
北京,北,bei3,1,
贝壳,贝,bei4,1,
玻璃,玻,bo1,1,
宝马,宝马,bao3ma3,3,"宝马, 宝石, 保温"
冰女,冰女,bing1nv3,6,"冰棍, 冰女, 兵器, 冰人, 冰糖, 冰箱"
博士,博,bo2,1,
鞭炮,鞭,bian1,1,
兵器,兵器,bing1qi4,6,"冰棍, 冰女, 兵器, 冰人, 冰糖, 冰箱"
冰人,冰人,bing1ren2,6,"冰棍, 冰女, 兵器, 冰人, 冰糖, 冰箱"
宝石,宝石,bao3shi2,3,"宝马, 宝石, 保温"
冰糖,冰糖,bing1tang2,6,"冰棍, 冰女, 兵器, 冰人, 冰糖, 冰箱"
保温,保温,bao3wen1,3,"宝马, 宝石, 保温"
冰箱,冰箱,bing1xiang1,6,"冰棍, 冰女, 兵器, 冰人, 冰糖, 冰箱"
鲍鱼,鲍鱼,bao4yu2,2,"鲍鱼, 暴走"
暴走,暴走,bao4zou3,2,"鲍鱼, 暴走"
擦,擦,ca1,1,
茶杯,茶,cha2,1,
嫦娥,嫦,chang2,1,
穿越,穿,chuan1,1,
唇膏,唇,chun2,1,
彩虹,彩,cai3,1,
磁,磁,ci2,3,"磁, 磁能, 慈善"
程洁,程洁,cheng2jie2,4,"程洁, 城墙, 程序, 橙汁"
刺客,刺客,ci4ke4,2,"刺客, 刺猬"
窗帘,窗,chuang1,1,
草莓,草,cao3,1,
磁能,磁能,ci2neng2,3,"磁, 磁能, 慈善"
手铐,手铐,shou3kao4,3,"手铐, 手表, 守望"
车票,车,che1,1,
城墙,城墙,cheng2qiang2,4,"程洁, 城墙, 程序, 橙汁"
皇室,皇室,huang2shi4,4,"皇室, 黄瓜, 黄油, 黄忠"
慈善,慈善,ci2shan4,3,"磁, 磁能, 慈善"
抽屉,抽,chou1,1,
刺猬,刺猬,ci4wei4,2,"刺客, 刺猬"
程序,程序,cheng2xu4,4,"程洁, 城墙, 程序, 橙汁"
插眼,插,cha1,1,
橙汁,橙汁,cheng2zhi1,4,"程洁, 城墙, 程序, 橙汁"
豆瓣,豆瓣,dou4ban4,4,"豆瓣, 豆腐, 豆浆, 豆油"
大葱,大葱,da4cong1,3,"大葱, 大鸟, 大象"
戴尔,戴尔,dai4er3,3,"戴尔, 戴炜, 袋子"
豆腐,豆腐,dou4fu3,4,"豆瓣, 豆腐, 豆浆, 豆油"
蛋糕,蛋糕,dan4gao1,10,"蛋糕, 蛋壳, 蛋挞, 弹弓, 弹簧, 蛋炒, 蛋树, 蛋卷, 蛋酥, 蛋仔"
德航,德,de2,1,
笛,笛,di2,1,
豆浆,豆浆,dou4jiang1,4,"豆瓣, 豆腐, 豆浆, 豆油"
蛋壳,蛋壳,dan4ke2,10,"蛋糕, 蛋壳, 蛋挞, 弹弓, 弹簧, 蛋炒, 蛋树, 蛋卷, 蛋酥, 蛋仔"
地雷,地雷,di4lei2,2,"地雷, 地球"
达摩,达,da2,1,
大鸟,大鸟,da4niao3,3,"大葱, 大鸟, 大象"
兜,兜,dou1,1,
灯泡,灯,deng1,1,
地球,地球,di4qiu2,2,"地雷, 地球"
钻戒,钻戒,zuan1jie4,2,"钻戒, 钻石"
动森,动,dong4,1,
蛋挞,蛋挞,dan4ta4,10,"蛋糕, 蛋壳, 蛋挞, 弹弓, 弹簧, 蛋炒, 蛋树, 蛋卷, 蛋酥, 蛋仔"
戴炜,戴炜,dai4wei3,3,"戴尔, 戴炜, 袋子"
大象,大象,da4xiang4,3,"大葱, 大鸟, 大象"
豆油,豆油,dou4you2,4,"豆瓣, 豆腐, 豆浆, 豆油"
袋子,袋子,dai4zi,3,"戴尔, 戴炜, 袋子"
艺电,艺,yi4,1,
铅笔,铅,qian1,1,
内存,内存,nei4cun2,2,"内存, 内衣"
拜得,拜得,bai4de2,2,"拜厄, 拜得"
英孚,英孚,ying1fu2,2,"英孚, 英"
二锅,二锅,er4guo1,3,"二锅, 二胡, 二维"
二胡,二胡,er4hu2,3,"二锅, 二胡, 二维"
期刊,期,qi1,1,
耳机,耳机,er3ji1,3,"耳机, 耳片, 耳蜗"
水冷,水冷,shui3leng3,3,"水冷, 水管, 水龙"
饿狼,饿狼,e4lang2,4,"饿狼, 噩梦, 恶犬, 鳄鱼"
噩梦,噩梦,e4meng4,4,"饿狼, 噩梦, 恶犬, 鳄鱼"
英,英,ying1,2,"英孚, 英"
鹅蛋,鹅,e2,1,
耳片,耳片,er3pian4,3,"耳机, 耳片, 耳蜗"
恶犬,恶犬,e4quan3,4,"饿狼, 噩梦, 恶犬, 鳄鱼"
实体,实体,shi2ti3,2,"实体, 食堂"
处理,处,chu3,1,
外星,外星,wai4xing1,2,"外星, 外卖"
耳蜗,耳蜗,er3wo1,3,"耳机, 耳片, 耳蜗"
出口,出,chu1,1,
鳄鱼,鳄鱼,e4yu2,4,"饿狼, 噩梦, 恶犬, 鳄鱼"
儿子,儿,er2,1,
飞镖,飞镖,fei1biao1,7,"飞镖, 飞碟, 飞蛾, 飞机, 飞龙, 飞行, 飞鱼"
马力,马力,ma3li4,4,"马力, 马, 马车, 马可"
飞碟,飞碟,fei1die2,7,"飞镖, 飞碟, 飞蛾, 飞机, 飞龙, 飞行, 飞鱼"
飞蛾,飞蛾,fei1e2,7,"飞镖, 飞碟, 飞蛾, 飞机, 飞龙, 飞行, 飞鱼"
梵高,梵,fan4,1,
凤凰,凤,feng4,1,
飞机,飞机,fei1ji1,7,"飞镖, 飞碟, 飞蛾, 飞机, 飞龙, 飞行, 飞鱼"
防空,防,fang2,1,
飞龙,飞龙,fei1long2,7,"飞镖, 飞碟, 飞蛾, 飞机, 飞龙, 飞行, 飞鱼"
收音,收,shou1,1,
肥牛,肥牛,fei2niu2,2,"肥牛, 肥皂"
佛,佛,fu2,1,
发票,发,fa1,1,
番茄,番,fan1,1,
